Player,Team,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
RR Pant,India,8,8,14,13,1,3,1.75
Litton Das,Bangladesh,7,7,8,4,4,2,1.142
N Pooran,West Indies,7,7,8,8,0,2,1.142
Q de Kock,South africa,9,9,8,6,2,1,0.888
JC Buttler,England,8,8,7,5,2,2,0.875
DP Conway,New Zealand,4,4,6,5,1,3,1.5
Rahmanullah Gurbaz,Afghanistan,8,8,6,6,0,2,0.75
S Movva,Canada,3,3,5,5,0,2,1.666
Mohammad Rizwan,Pakistan,4,3,4,4,0,2,1.333
ZE Green,Namibia,4,4,4,3,1,2,1
MH Cross,Scotland,4,3,3,2,1,2,1
K Doriga,Papua New Guinea,4,4,3,3,0,2,0.75
MS Wade,Australia,7,7,3,3,0,2,0.428
Aasif Sheikh,Nepal,3,3,2,1,1,1,0.666
BKG Mendis,Sri Lanka,3,3,2,0,2,2,0.666
LJ Tucker,Ireland,3,3,2,2,0,2,0.666
SA Edwards,Netherlands,4,4,2,2,0,1,0.5
AGS Gous,United States of America,6,4,1,1,0,1,0.25
S Ssesazi,Uganda,4,4,1,1,0,1,0.25
Azam Khan,Pakistan,1,1,0,0,0,0,0
Naseem Khushi,Oman,2,1,0,0,0,0,0
MD Patel,United States of America,2,2,0,0,0,0,0
PS Athavale,Oman,3,3,0,0,0,0,0
